Words;NosionGroup1;NosionGroup2
ardvark;1;
abalone;1;
african elephant;1;
african gray parrot;1;
african penguin;1;
african rock python;1;
african wild cat;1;
agouti;1;
airedale terrier;1;
alaskan malamute;1;
albatross;1;
algae;1;
alligator;1;
alpaca;1;
american bison;1;
american cocker spaniel;1;
american crocodile;1;
american flamingo;1;
american golden plover;1;
american robin;1;
american tree sparrow;1;
amoeba;1;
amphibian;1;
anaconda;1;
angelfish;1;
angelshark;1;
angonoka;1;
animal;1;
anole;1;
ant;1;
anteater;1;
antelope;1;
apatosaurus;1;
ape;1;
aphid;1;
arachnid;1;
archaeopteryx;1;
arctic fox;1;
arctic tern;1;
arctic wolf;1;
armadillo;1;
arsinoitherium;1;
arthropod;1;
artiodactyls;1;
asp;1;
assassin bug;1;
aye aye;1;
baboon;1;
bactrian camel;1;
badger;1;
bald eagle;1;
bandicoot;1;
barnacle;1;
barracuda;1;
basilisk;1;
basking shark;1;
bass;1;
basset hound;1;
bat;1;
beagle;1;
bear;1;
bearded dragon;1;
beaver;1;
bed bug;1;
bee;1;
beetle;1;
beluga whale;1;
bichon frise;1;
bighorn sheep;1;
bilby;1;
binturong;1;
bird;1;
bison;1;
bivalve;1;
black bear;1;
black bear hamster;1;
black caiman;1;
black racer;1;
black swan;1;
blackbird;1;
bloodhound;1;
blowfish;1;
blue jay;1;
blue morpho butterfly;1;
blue ring octopus;1;
blue shark;1;
blue whale;1;
blue tongued skink;1;
bluebird;1;
bluefin tuna;1;
boa constrictor;1;
bobcat;1;
bongo;1;
bonobo;1;
bony fish;1;
border collie;1;
boston terrier;1;
bowhead whale;1;
box turtle;1;
boxer;1;
brittle star;1;
brown bear;1;
brown pelican;1;
buffalo;1;
bug;1;
bull;1;
bull shark;1;
bull snake;1;
bulldog;1;
bullfrog;1;
bumblebee;1;
bushbaby;1;
butterfly;1;
caiman;1;
california sea lion;1;
camel;1;
canada goose;1;
canary;1;
cape buffalo;1;
cape hunting dog;1;
capybera;1;
caracal;1;
cardinal;1;
caribou;1;
carnivora;1;
carpenter ant;1;
cassowary;1;
cat;1;
catamount;1;
caterpillar;1;
cattle;1;
cavy;1;
centipede;1;
cephalpod;1;
chameleon;1;
cheetah;1;
chickadee;1;
chicken;1;
chihuahua;1;
chimipanzee;1;
chinchilla;1;
chipmunk;1;
chiton;1;
